p,x1,x2,sr1,sr2,sr3,sr4,sr5,sr6,sr7,sr8
0.01,25,0,2,5,8,11,14,17,20,23
0.01,50,0,4,10,16,22,28,34,40,46
0.01,75,0,6,15,24,33,42,51,60,69
0.01,100,0,8,20,32,44,56,68,80,92
0.01,150,0,12,30,48,66,84,102,120,138
0.01,200,0,16,40,64,88,112,136,160,184
0.01,400,0,32,80,128,176,224,272,320,368
0.01,800,0,64,160,256,352,448,544,640,736
0.01,50,25,27,30,33,36,39,42,45,48
0.01,75,50,52,55,58,61,64,67,70,73
0.01,100,50,54,60,66,72,78,84,90,96
0.01,150,50,58,70,82,94,106,118,130,142
0.01,150,100,104,110,116,122,128,134,140,146
0.01,200,100,108,120,132,144,156,168,180,192
0.01,200,150,154,160,166,172,178,184,190,196
0.05,25,0,2,5,8,11,14,17,20,23
0.05,50,0,4,10,16,22,28,34,40,46
0.05,75,0,6,15,24,33,42,51,60,69
0.05,100,0,8,20,32,44,56,68,80,92
0.05,150,0,12,30,48,66,84,102,120,138
0.05,200,0,16,40,64,88,112,136,160,184
0.05,400,0,32,80,128,176,224,272,320,368
0.05,800,0,64,160,256,352,448,544,640,736
0.05,50,25,27,30,33,36,39,42,45,48
0.05,75,50,52,55,58,61,64,67,70,73
0.05,100,50,54,60,66,72,78,84,90,96
0.05,150,50,58,70,82,94,106,118,130,142
0.05,150,100,104,110,116,122,128,134,140,146
0.05,200,100,108,120,132,144,156,168,180,192
0.05,200,150,154,160,166,172,178,184,190,196
0.1,25,0,2,5,8,11,14,17,20,23
0.1,50,0,4,10,16,22,28,34,40,46
0.1,75,0,6,15,24,33,42,51,60,69
0.1,100,0,8,20,32,44,56,68,80,92
0.1,150,0,12,30,48,66,84,102,120,138
0.1,200,0,16,40,64,88,112,136,160,184
0.1,400,0,32,80,128,176,224,272,320,368
0.1,800,0,64,160,256,352,448,544,640,736
0.1,50,25,27,30,33,36,39,42,45,48
0.1,75,50,52,55,58,61,64,67,70,73
0.1,100,50,54,60,66,72,78,84,90,96
0.1,150,50,58,70,82,94,106,118,130,142
0.1,150,100,104,110,116,122,128,134,140,146
0.1,200,100,108,120,132,144,156,168,180,192
0.1,200,150,154,160,166,172,178,184,190,196
0.25,25,0,2,5,8,11,14,17,20,23
0.25,50,0,4,10,16,22,28,34,40,46
0.25,75,0,6,15,24,33,42,51,60,69
0.25,100,0,8,20,32,44,56,68,80,92
0.25,150,0,12,30,48,66,84,102,120,138
0.25,200,0,16,40,64,88,112,136,160,184
0.25,400,0,32,80,128,176,224,272,320,368
0.25,800,0,64,160,256,352,448,544,640,736
0.25,50,25,27,30,33,36,39,42,45,48
0.25,75,50,52,55,58,61,64,67,70,73
0.25,100,50,54,60,66,72,78,84,90,96
0.25,150,50,58,70,82,94,106,118,130,142
0.25,150,100,104,110,116,122,128,134,140,146
0.25,200,100,108,120,132,144,156,168,180,192
0.25,200,150,154,160,166,172,178,184,190,196
0.4,25,0,2,5,8,11,14,17,20,23
0.4,50,0,4,10,16,22,28,34,40,46
0.4,75,0,6,15,24,33,42,51,60,69
0.4,100,0,8,20,32,44,56,68,80,92
0.4,150,0,12,30,48,66,84,102,120,138
0.4,200,0,16,40,64,88,112,136,160,184
0.4,400,0,32,80,128,176,224,272,320,368
0.4,800,0,64,160,256,352,448,544,640,736
0.4,50,25,27,30,33,36,39,42,45,48
0.4,75,50,52,55,58,61,64,67,70,73
0.4,100,50,54,60,66,72,78,84,90,96
0.4,150,50,58,70,82,94,106,118,130,142
0.4,150,100,104,110,116,122,128,134,140,146
0.4,200,100,108,120,132,144,156,168,180,192
0.4,200,150,154,160,166,172,178,184,190,196
0.5,25,0,2,5,8,11,14,17,20,23
0.5,50,0,4,10,16,22,28,34,40,46
0.5,75,0,6,15,24,33,42,51,60,69
0.5,100,0,8,20,32,44,56,68,80,92
0.5,150,0,12,30,48,66,84,102,120,138
0.5,200,0,16,40,64,88,112,136,160,184
0.5,400,0,32,80,128,176,224,272,320,368
0.5,800,0,64,160,256,352,448,544,640,736
0.5,50,25,27,30,33,36,39,42,45,48
0.5,75,50,52,55,58,61,64,67,70,73
0.5,100,50,54,60,66,72,78,84,90,96
0.5,150,50,58,70,82,94,106,118,130,142
0.5,150,100,104,110,116,122,128,134,140,146
0.5,200,100,108,120,132,144,156,168,180,192
0.5,200,150,154,160,166,172,178,184,190,196
0.6,25,0,2,5,8,11,14,17,20,23
0.6,50,0,4,10,16,22,28,34,40,46
0.6,75,0,6,15,24,33,42,51,60,69
0.6,100,0,8,20,32,44,56,68,80,92
0.6,150,0,12,30,48,66,84,102,120,138
0.6,200,0,16,40,64,88,112,136,160,184
0.6,400,0,32,80,128,176,224,272,320,368
0.6,800,0,64,160,256,352,448,544,640,736
0.6,50,25,27,30,33,36,39,42,45,48
0.6,75,50,52,55,58,61,64,67,70,73
0.6,100,50,54,60,66,72,78,84,90,96
0.6,150,50,58,70,82,94,106,118,130,142
0.6,150,100,104,110,116,122,128,134,140,146
0.6,200,100,108,120,132,144,156,168,180,192
0.6,200,150,154,160,166,172,178,184,190,196
0.75,25,0,2,5,8,11,14,17,20,23
0.75,50,0,4,10,16,22,28,34,40,46
0.75,75,0,6,15,24,33,42,51,60,69
0.75,100,0,8,20,32,44,56,68,80,92
0.75,150,0,12,30,48,66,84,102,120,138
