trial,item,is_same,task,res_needed,response,score,onset,Aonset,RT,rep
1,0,0,99,0,0,0,2,0,0,1
2,7,1,0,1,0,0,6,0,0,1
3,7,1,0,1,0,0,8,0,0,1
4,5,0,0,1,0,0,10,0,0,1
5,8,0,0,1,0,0,12,0,0,1
6,1,0,0,1,0,0,14,0,0,1
7,7,1,0,1,0,0,16,0,0,1
8,3,0,0,1,0,0,18,0,0,1
9,7,1,0,1,0,0,20,0,0,1
10,9,0,0,1,0,0,22,0,0,1
11,7,1,0,1,0,0,24,0,0,1
12,7,1,0,1,0,0,26,0,0,1
13,2,0,0,1,0,0,28,0,0,1
1,1,0,99,0,0,0,30,0,0,1
2,0,0,1,0,0,0,34,0,0,1
3,5,0,1,1,0,0,36,0,0,1
4,5,1,1,1,0,0,38,0,0,1
5,5,1,1,1,0,0,40,0,0,1
6,1,0,1,1,0,0,42,0,0,1
7,6,0,1,1,0,0,44,0,0,1
8,6,1,1,1,0,0,46,0,0,1
9,0,0,1,1,0,0,48,0,0,1
10,0,1,1,1,0,0,50,0,0,1
11,2,0,1,1,0,0,52,0,0,1
12,4,0,1,1,0,0,54,0,0,1
13,4,1,1,1,0,0,56,0,0,1
1,2,0,99,0,0,0,58,0,0,1
2,9,0,2,0,0,0,62,0,0,1
3,7,0,2,0,0,0,64,0,0,1
4,9,1,2,1,0,0,66,0,0,1
5,6,0,2,1,0,0,68,0,0,1
6,3,0,2,1,0,0,70,0,0,1
7,6,1,2,1,0,0,72,0,0,1
8,3,1,2,1,0,0,74,0,0,1
9,2,0,2,1,0,0,76,0,0,1
10,7,0,2,1,0,0,78,0,0,1
11,2,1,2,1,0,0,80,0,0,1
12,7,1,2,1,0,0,82,0,0,1
13,1,0,2,1,0,0,84,0,0,1
1,3,0,99,0,0,0,86,0,0,1
2,3,0,3,0,0,0,90,0,0,1
3,4,0,3,0,0,0,92,0,0,1
4,9,0,3,0,0,0,94,0,0,1
5,3,1,3,1,0,0,96,0,0,1
6,7,0,3,1,0,0,98,0,0,1
7,2,0,3,1,0,0,100,0,0,1
8,3,1,3,1,0,0,102,0,0,1
9,4,0,3,1,0,0,104,0,0,1
10,2,1,3,1,0,0,106,0,0,1
11,1,0,3,1,0,0,108,0,0,1
12,4,1,3,1,0,0,110,0,0,1
13,2,1,3,1,0,0,112,0,0,1
1,2,0,99,0,0,0,114,0,0,2
2,0,0,2,0,0,0,118,0,0,2
3,3,0,2,0,0,0,120,0,0,2
4,0,1,2,1,0,0,122,0,0,2
5,3,1,2,1,0,0,124,0,0,2
6,9,0,2,1,0,0,126,0,0,2
7,4,0,2,1,0,0,128,0,0,2
8,9,1,2,1,0,0,130,0,0,2
9,6,0,2,1,0,0,132,0,0,2
10,9,1,2,1,0,0,134,0,0,2
11,6,1,2,1,0,0,136,0,0,2
12,1,0,2,1,0,0,138,0,0,2
13,5,0,2,1,0,0,140,0,0,2
1,3,0,99,0,0,0,142,0,0,2
2,0,0,3,0,0,0,146,0,0,2
3,1,0,3,0,0,0,148,0,0,2
4,4,0,3,0,0,0,150,0,0,2
5,7,0,3,1,0,0,152,0,0,2
6,1,1,3,1,0,0,154,0,0,2
7,6,0,3,1,0,0,156,0,0,2
8,7,1,3,1,0,0,158,0,0,2
9,1,1,3,1,0,0,160,0,0,2
10,3,0,3,1,0,0,162,0,0,2
11,7,1,3,1,0,0,164,0,0,2
12,8,0,3,1,0,0,166,0,0,2
13,6,0,3,1,0,0,168,0,0,2
1,0,0,99,0,0,0,170,0,0,2
2,8,0,0,1,0,0,174,0,0,2
3,4,0,0,1,0,0,176,0,0,2
4,7,1,0,1,0,0,178,0,0,2
5,9,0,0,1,0,0,180,0,0,2
6,7,1,0,1,0,0,182,0,0,2
7,1,0,0,1,0,0,184,0,0,2
8,7,1,0,1,0,0,186,0,0,2
9,3,0,0,1,0,0,188,0,0,2
10,7,1,0,1,0,0,190,0,0,2
11,5,0,0,1,0,0,192,0,0,2
12,7,1,0,1,0,0,194,0,0,2
13,7,1,0,1,0,0,196,0,0,2
1,1,0,99,0,0,0,198,0,0,2
2,2,0,1,0,0,0,202,0,0,2
3,1,0,1,1,0,0,204,0,0,2
4,0,0,1,1,0,0,206,0,0,2
5,0,1,1,1,0,0,208,0,0,2
6,3,0,1,1,0,0,210,0,0,2
7,3,1,1,1,0,0,212,0,0,2
8,3,1,1,1,0,0,214,0,0,2
9,4,0,1,1,0,0,216,0,0,2
10,4,1,1,1,0,0,218,0,0,2
11,2,0,1,1,0,0,220,0,0,2
12,2,1,1,1,0,0,222,0,0,2
13,2,1,1,1,0,0,224,0,0,2
1,3,0,99,0,0,0,226,0,0,3
2,7,0,3,0,0,0,230,0,0,3
3,8,0,3,0,0,0,232,0,0,3
4,3,0,3,0,0,0,234,0,0,3
5,7,1,3,1,0,0,236,0,0,3
