,p,x1,x2,block
0,0.99,25.0,0.0,block1
1,0.99,100.0,0.0,block1
2,0.5,25.0,0.0,block1
3,0.01,100.0,0.0,block1
4,0.5,100.0,0.0,block1
5,0.99,150.0,100.0,block1
6,0.01,25.0,0.0,block1
7,0.01,400.0,0.0,block1
8,0.01,800.0,0.0,block1
9,0.99,800.0,0.0,block1
10,0.01,200.0,100.0,block1
11,0.01,50.0,0.0,block1
12,0.01,150.0,0.0,block1
13,0.99,50.0,25.0,block1
14,0.01,200.0,150.0,block1
15,0.01,50.0,25.0,block1
16,0.99,75.0,50.0,block1
17,0.99,200.0,100.0,block1
18,0.01,75.0,50.0,block1
19,0.99,50.0,0.0,block1
20,0.99,100.0,50.0,block1
21,0.01,200.0,0.0,block1
22,0.5,75.0,0.0,block1
23,0.99,400.0,0.0,block1
24,0.01,150.0,50.0,block1
25,0.01,100.0,50.0,block1
26,0.99,200.0,150.0,block1
27,0.01,75.0,0.0,block1
28,0.99,150.0,0.0,block1
29,0.99,200.0,0.0,block1
30,0.99,150.0,50.0,block1
31,0.01,150.0,100.0,block1
32,0.99,75.0,0.0,block1
33,0.05,50.0,25.0,block2
34,0.05,150.0,100.0,block2
35,0.95,200.0,100.0,block2
36,0.05,200.0,100.0,block2
37,0.05,400.0,0.0,block2
38,0.95,200.0,150.0,block2
39,0.95,150.0,50.0,block2
40,0.05,200.0,0.0,block2
41,0.5,50.0,0.0,block2
42,0.05,800.0,0.0,block2
43,0.5,200.0,150.0,block2
44,0.95,50.0,0.0,block2
45,0.05,200.0,150.0,block2
46,0.05,100.0,50.0,block2
47,0.05,75.0,0.0,block2
48,0.95,150.0,0.0,block2
49,0.95,200.0,0.0,block2
50,0.05,150.0,50.0,block2
51,0.95,50.0,25.0,block2
52,0.5,150.0,50.0,block2
53,0.95,400.0,0.0,block2
54,0.95,150.0,100.0,block2
55,0.05,75.0,50.0,block2
56,0.05,50.0,0.0,block2
57,0.95,75.0,0.0,block2
58,0.05,25.0,0.0,block2
59,0.95,25.0,0.0,block2
60,0.05,100.0,0.0,block2
61,0.95,800.0,0.0,block2
62,0.95,75.0,50.0,block2
63,0.05,150.0,0.0,block2
64,0.95,100.0,50.0,block2
65,0.95,100.0,0.0,block2
66,0.9,100.0,50.0,block3
67,0.1,200.0,100.0,block3
68,0.1,400.0,0.0,block3
69,0.1,75.0,50.0,block3
70,0.5,75.0,50.0,block3
71,0.9,150.0,100.0,block3
72,0.1,800.0,0.0,block3
73,0.9,200.0,100.0,block3
74,0.1,100.0,50.0,block3
75,0.9,50.0,0.0,block3
76,0.9,150.0,50.0,block3
77,0.1,200.0,150.0,block3
78,0.9,150.0,0.0,block3
79,0.5,150.0,0.0,block3
80,0.9,400.0,0.0,block3
81,0.1,75.0,0.0,block3
82,0.9,25.0,0.0,block3
83,0.9,75.0,50.0,block3
84,0.1,100.0,0.0,block3
85,0.1,150.0,50.0,block3
86,0.9,50.0,25.0,block3
87,0.1,50.0,25.0,block3
88,0.1,50.0,0.0,block3
89,0.1,200.0,0.0,block3
90,0.9,75.0,0.0,block3
91,0.1,150.0,100.0,block3
92,0.5,150.0,100.0,block3
93,0.9,800.0,0.0,block3
94,0.9,200.0,0.0,block3
95,0.1,150.0,0.0,block3
96,0.9,100.0,0.0,block3
97,0.1,25.0,0.0,block3
98,0.9,200.0,150.0,block3
99,0.75,200.0,100.0,block4
100,0.25,50.0,25.0,block4
101,0.25,150.0,50.0,block4
102,0.75,200.0,0.0,block4
103,0.25,75.0,50.0,block4
104,0.75,25.0,0.0,block4
105,0.75,150.0,100.0,block4
106,0.75,200.0,150.0,block4
107,0.25,100.0,0.0,block4
108,0.75,50.0,25.0,block4
109,0.25,200.0,150.0,block4
110,0.25,150.0,100.0,block4
111,0.75,150.0,50.0,block4
112,0.25,75.0,0.0,block4
113,0.25,400.0,0.0,block4
114,0.25,150.0,0.0,block4
115,0.25,50.0,0.0,block4
116,0.75,75.0,50.0,block4
117,0.75,100.0,50.0,block4
118,0.75,50.0,0.0,block4
119,0.25,200.0,100.0,block4
120,0.25,200.0,0.0,block4
121,0.25,100.0,50.0,block4
122,0.5,400.0,0.0,block4
123,0.75,75.0,0.0,block4
124,0.25,800.0,0.0,block4
125,0.5,800.0,0.0,block4
126,0.25,25.0,0.0,block4
127,0.75,100.0,0.0,block4
128,0.5,100.0,50.0,block4
129,0.75,150.0,0.0,block4
130,0.75,400.0,0.0,block4
131,0.75,800.0,0.0,block4
132,0.6,50.0,25.0,block5
133,0.6,100.0,0.0,block5
134,0.6,150.0,50.0,block5
135,0.4,25.0,0.0,block5
136,0.4,400.0,0.0,block5
137,0.6,25.0,0.0,block5
138,0.6,200.0,150.0,block5
139,0.4,100.0,0.0,block5
140,0.4,150.0,50.0,block5
141,0.4,150.0,0.0,block5
142,0.6,75.0,50.0,block5
143,0.6,50.0,0.0,block5
144,0.6,400.0,0.0,block5
145,0.6,200.0,100.0,block5
146,0.4,50.0,0.0,block5
147,0.6,100.0,50.0,block5
148,0.4,200.0,150.0,block5
149,0.4,800.0,0.0,block5
150,0.6,200.0,0.0,block5
151,0.5,200.0,0.0,block5
152,0.4,75.0,0.0,block5
153,0.4,100.0,50.0,block5
